cash_multiplier,final_value
0.1,999.9087044036874
0.2,1004.4884197655908
0.25,1004.3237115418906
0.3,1006.6838620863308
0.4,1007.5438270190867
0.5,1006.7132484053977
0.6,1010.0967852527064
0.7,1010.438747320103
0.75,1010.1659183597558
0.8,1007.4583031702834
0.9,993.7983071375686
