rsi_period,atr_period,atr_loose_multiplier,atr_strict_multiplier,final_value
4,6,3.0,0.0175,1292.9653510449116
4,6,3.0,0.02,1245.7329179738929
4,7,1.75,0.0075,1217.5632129922103
4,7,1.75,0.01,1340.4570321927574
4,7,1.75,0.0125,1290.0153772932324
4,7,1.75,0.015,1254.7924896508969
4,7,1.75,0.0175,1210.1395267075384
4,7,1.75,0.02,1208.850623098362
4,7,2.0,0.0075,1231.536835434429
4,7,2.0,0.01,1350.002201970096
4,7,2.0,0.0125,1284.9764617576204
4,7,2.0,0.015,1254.7924896508969
4,7,2.0,0.0175,1210.1395267075384
4,7,2.0,0.02,1211.5805281790488
4,7,2.25,0.0075,1208.2130848929128
4,7,2.25,0.01,1350.002201970096
4,7,2.25,0.0125,1284.29388301975
4,7,2.25,0.015,1266.4846399623862
4,7,2.25,0.0175,1272.7016221710803
4,7,2.25,0.02,1238.9861230223953
4,4,2.0,0.0075,1052.227872564001
4,4,2.0,0.01,1198.038243710816
4,4,2.0,0.0125,1216.4660050429293
4,4,2.0,0.015,1105.3855815702093
4,4,2.0,0.0175,1095.738334490375
4,4,2.0,0.02,1126.2172307087826
4,4,3.0,0.0075,1078.0489056196134
4,4,3.0,0.01,1206.784526857679
4,4,3.0,0.0125,1134.8974648272076
4,4,3.0,0.015,1151.7154742236412
4,4,3.0,0.0175,1132.794297139543
4,4,3.0,0.02,1164.8435378923812
4,5,2.0,0.0075,1210.1291003081355
4,5,2.0,0.01,1350.4061425213868
4,5,2.0,0.0125,1310.1269016652384
4,5,2.0,0.015,1249.5737218213549
4,5,2.0,0.0175,1312.597603688962
4,5,2.0,0.02,1165.0362585279804
4,5,3.0,0.0075,1215.4309158988076
4,5,3.0,0.01,1311.6003070086874
4,5,3.0,0.0125,1319.4495933479889
4,5,3.0,0.015,1293.9779694255435
4,5,3.0,0.0175,1287.6659287041714
4,5,3.0,0.02,1262.1197376809123
4,6,2.0,0.0075,1228.3774089019726
4,6,2.0,0.01,1348.8451737620685
4,6,2.0,0.0125,1308.016176986552
4,6,2.0,0.015,1253.4390679363396
4,6,2.0,0.0175,1350.4041087089204
4,6,2.0,0.02,1174.6103730533682
4,6,3.0,0.0075,1219.4340428362616
4,6,3.0,0.01,1311.984143932537
4,6,3.0,0.0125,1281.079653827467
4,6,3.0,0.015,1286.2435416334563
4,6,3.0,0.0175,1292.9653510449116
4,6,3.0,0.02,1245.7329179738929
4,7,2.0,0.0075,1231.536835434429
4,7,2.0,0.01,1350.002201970096
4,7,2.0,0.0125,1284.9764617576204
4,7,2.0,0.015,1254.7924896508969
4,7,2.0,0.0175,1210.1395267075384
4,7,2.0,0.02,1211.5805281790488
4,7,2.5,0.0075,1228.108970248065
4,7,2.5,0.01,1312.4525942523403
4,7,2.5,0.0125,1260.56535031437
4,7,2.5,0.015,1249.7860366234406
4,7,2.5,0.0175,1287.0674944643326
4,7,2.5,0.02,1239.0785422787892
4,7,2.75,0.0075,1193.7045562021833
4,7,2.75,0.01,1328.2440856862545
4,7,2.75,0.0125,1247.2787101489128
4,7,2.75,0.015,1272.0697968040995
4,7,2.75,0.0175,1277.7664062456522
4,7,2.75,0.02,1236.449686565105
4,7,3.0,0.0075,1193.7418299671688
4,7,3.0,0.01,1321.7960816664067
4,7,3.0,0.0125,1283.823674895058
4,7,3.0,0.015,1282.8642985341935
4,7,3.0,0.0175,1280.7513642376257
4,7,3.0,0.02,1232.0231368418154
4,8,1.75,0.0075,1208.182353425736
4,8,1.75,0.01,1334.2301381909322
4,8,1.75,0.0125,1295.9646727245113
4,8,1.75,0.015,1254.892370522179
4,8,1.75,0.0175,1239.0851135796352
4,8,1.75,0.02,1143.2220813982467
4,8,2.0,0.0075,1213.1460295521968
4,8,2.0,0.01,1336.0910649371583
4,8,2.0,0.0125,1309.1272462579834
4,8,2.0,0.015,1254.892370522179
4,8,2.0,0.0175,1248.0857740846322
4,8,2.0,0.02,1143.2220813982467
4,8,2.25,0.0075,1213.1460295521968
4,8,2.25,0.01,1334.7228838621431
4,8,2.25,0.0125,1277.1273904601978
4,8,2.25,0.015,1269.001681627779
4,8,2.25,0.0175,1347.7054079353009
4,8,2.25,0.02,1226.1656195111668
4,8,2.5,0.0075,1208.143010591785
4,8,2.5,0.01,1299.3622342760484
4,8,2.5,0.0125,1277.4488866198944
4,8,2.5,0.015,1249.8887367704394
4,8,2.5,0.0175,1285.5034681675274
4,8,2.5,0.02,1226.254372395995
4,8,2.75,0.0075,1211.8857200053744
4,8,2.75,0.01,1309.3466145766092
4,8,2.75,0.0125,1246.8556639660192
4,8,2.75,0.015,1281.024790026514
4,8,2.75,0.0175,1309.2338022825893
4,8,2.75,0.02,1230.2538632698877
4,8,3.0,0.0075,1185.013345124053
4,8,3.0,0.01,1349.455350006428
4,8,3.0,0.0125,1282.004670712422
4,8,3.0,0.015,1257.1066845219657
4,8,3.0,0.0175,1270.9704348956434
4,8,3.0,0.02,1223.2033113084888
4,9,1.75,0.0075,1206.4564490146315
4,9,1.75,0.01,1314.5752586468138
4,9,1.75,0.0125,1270.8815686893813
4,9,1.75,0.015,1253.7479824973254
4,9,1.75,0.0175,1223.0246617504397
4,9,1.75,0.02,1240.5693329904368
4,9,2.0,0.0075,1218.0484780501677
4,9,2.0,0.01,1319.1825607473274
4,9,2.0,0.0125,1270.8815686893813
4,9,2.0,0.015,1254.1711076402858
4,9,2.0,0.0175,1223.0246617504397
4,9,2.0,0.02,1249.590284478613
4,9,2.25,0.0075,1230.134556316205
4,9,2.25,0.01,1333.2353789663075
4,9,2.25,0.0125,1250.1831051992283
4,9,2.25,0.015,1268.6803427031457
4,9,2.25,0.0175,1275.9404307712416
4,9,2.25,0.02,1193.7220721561775
4,9,2.5,0.0075,1207.090543115448
4,9,2.5,0.01,1308.550129404036
4,9,2.5,0.0125,1254.764626277646
4,9,2.5,0.015,1267.9076170042115
4,9,2.5,0.0175,1281.823143511519
4,9,2.5,0.02,1175.520288014197
4,9,2.75,0.0075,1185.0194894599172
4,9,2.75,0.01,1323.6811636027858
4,9,2.75,0.0125,1264.992393610013
4,9,2.75,0.015,1278.1017177047067
4,9,2.75,0.0175,1308.7501564596002
4,9,2.75,0.02,1183.183247602234
4,9,3.0,0.0075,1206.1759694023472
4,9,3.0,0.01,1307.716931572028
4,9,3.0,0.0125,1276.5934906883638
4,9,3.0,0.015,1295.1344218547497
4,9,3.0,0.0175,1309.123521400758
4,9,3.0,0.02,1181.353826561848
4,10,1.75,0.0075,1208.46831482648
4,10,1.75,0.01,1292.762112861547
4,10,1.75,0.0125,1296.588949058436
4,10,1.75,0.015,1277.995833065961
4,10,1.75,0.0175,1365.8111549048
4,10,1.75,0.02,1165.344751714102
4,10,2.0,0.0075,1208.46831482648
4,10,2.0,0.01,1292.923973445181
4,10,2.0,0.0125,1300.7262333949695
4,10,2.0,0.015,1285.536319880462
4,10,2.0,0.0175,1365.8111549048
4,10,2.0,0.02,1165.344751714102
4,10,2.25,0.0075,1208.46831482648
4,10,2.25,0.01,1292.923973445181
4,10,2.25,0.0125,1262.045115981812
4,10,2.25,0.015,1285.536319880462
4,10,2.25,0.0175,1288.2126675859067
4,10,2.25,0.02,1199.2533680620895
4,10,2.5,0.0075,1184.9330300003037
4,10,2.5,0.01,1351.840753629734
4,10,2.5,0.0125,1303.067497507778
4,10,2.5,0.015,1259.0126725030764
4,10,2.5,0.0175,1290.143617855353
4,10,2.5,0.02,1194.6934178428237
4,10,2.75,0.0075,1189.5114764632965
4,10,2.75,0.01,1225.4236500556976
4,10,2.75,0.0125,1286.3084769894413
4,10,2.75,0.015,1258.1324581449462
4,10,2.75,0.0175,1263.1784919427676
4,10,2.75,0.02,1176.4089223345984
4,10,3.0,0.0075,1197.3741635873648
4,10,3.0,0.01,1298.0614279637298
4,10,3.0,0.0125,1282.8883140389753
4,10,3.0,0.015,1251.0581274982876
4,10,3.0,0.0175,1271.9572656155724
4,10,3.0,0.02,1250.7451999040754
4,11,1.75,0.0075,1218.368642070019
4,11,1.75,0.01,1330.8084904265495
4,11,1.75,0.0125,1296.153908033662
4,11,1.75,0.015,1226.8047416272266
4,11,1.75,0.0175,1126.624565749015
4,11,1.75,0.02,1281.004343515271
4,11,2.0,0.0075,1218.368642070019
4,11,2.0,0.01,1334.394815573669
4,11,2.0,0.0125,1308.6773535672753
4,11,2.0,0.015,1226.8047416272266
4,11,2.0,0.0175,1158.720730659783
4,11,2.0,0.02,1281.004343515271
4,11,2.25,0.0075,1231.991018547862
4,11,2.25,0.01,1311.939823992486
4,11,2.25,0.0125,1269.671445168677
4,11,2.25,0.015,1253.1148716945552
4,11,2.25,0.0175,1275.4878754153433
4,11,2.25,0.02,1272.2188801877064
4,11,2.5,0.0075,1198.055749144108
4,11,2.5,0.01,1311.8190543479234
4,11,2.5,0.0125,1254.20223145203
4,11,2.5,0.015,1263.6852122984155
4,11,2.5,0.0175,1284.2247315298514
4,11,2.5,0.02,1254.4875593940942
4,11,2.75,0.0075,1205.611557735264
4,11,2.75,0.01,1308.7871609900274
4,11,2.75,0.0125,1255.0825585442844
4,11,2.75,0.015,1256.513070092113
4,11,2.75,0.0175,1277.3522858537228
4,11,2.75,0.02,1255.1338831923924
4,11,3.0,0.0075,1204.0153751560763
4,11,3.0,0.01,1233.869653523563
4,11,3.0,0.0125,1209.2361993180095
4,11,3.0,0.015,1258.309364578131
4,11,3.0,0.0175,1284.2816516175587
4,11,3.0,0.02,1255.7579883502272
4,12,1.75,0.0075,1193.877401363703
4,12,1.75,0.01,1253.5011715108917
4,12,1.75,0.0125,1278.771114959156
4,12,1.75,0.015,1254.5413099803136
4,12,1.75,0.0175,1348.1004441887667
4,12,1.75,0.02,1276.9919229719449
4,12,2.0,0.0075,1198.1156765259334
4,12,2.0,0.01,1209.641522057045
4,12,2.0,0.0125,1247.536249966136
4,12,2.0,0.015,1267.3377133750855
4,12,2.0,0.0175,1364.7883007012686
4,12,2.0,0.02,1257.1352367193676
4,12,2.25,0.0075,1196.6339579747737
4,12,2.25,0.01,1308.6847712443396
4,12,2.25,0.0125,1265.9344859483174
4,12,2.25,0.015,1255.950049686287
4,12,2.25,0.0175,1281.7427653112406
4,12,2.25,0.02,1240.3823301878622
4,12,2.5,0.0075,1161.5675049316646
4,12,2.5,0.01,1312.8913497728713
4,12,2.5,0.0125,1267.2485428355624
4,12,2.5,0.015,1261.7307572986326
4,12,2.5,0.0175,1281.7427653112406
4,12,2.5,0.02,1227.5734682420084
4,12,2.75,0.0075,1197.869166484593
4,12,2.75,0.01,1284.3023017043429
4,12,2.75,0.0125,1243.3575428012389
4,12,2.75,0.015,1238.1575246638806
4,12,2.75,0.0175,1220.4951888987482
4,12,2.75,0.02,1134.6720073197398
4,12,3.0,0.0075,1202.8468663240903
4,12,3.0,0.01,1273.9563254099942
4,12,3.0,0.0125,1255.329949280501
4,12,3.0,0.015,1231.0943518859608
4,12,3.0,0.0175,1232.6013368948006
4,12,3.0,0.02,1130.0458059749506
4,13,1.75,0.0075,1185.288066160855
4,13,1.75,0.01,1209.681768056576
4,13,1.75,0.0125,1252.1026833885985
4,13,1.75,0.015,1253.929906755546
4,13,1.75,0.0175,1131.8617548790544
4,13,1.75,0.02,1087.2230872757432
4,13,2.0,0.0075,1185.7435956345114
4,13,2.0,0.01,1218.9352616638612
4,13,2.0,0.0125,1188.6616408942632
4,13,2.0,0.015,1257.0728167904708
4,13,2.0,0.0175,1266.5800008204817
4,13,2.0,0.02,1075.1281541865876
4,13,2.25,0.0075,1185.7435956345114
4,13,2.25,0.01,1213.7223669547088
4,13,2.25,0.0125,1188.6616408942632
4,13,2.25,0.015,1257.0728167904708
4,13,2.25,0.0175,1322.0637652670905
4,13,2.25,0.02,1133.005606019579
4,13,2.5,0.0075,1167.123987706295
4,13,2.5,0.01,1186.678817234283
4,13,2.5,0.0125,1144.393074945334
4,13,2.5,0.015,1248.7906441769585
4,13,2.5,0.0175,1328.2536751567052
4,13,2.5,0.02,1165.817783368742
4,13,2.75,0.0075,1179.6571642790643
4,13,2.75,0.01,1201.5314841491652
4,13,2.75,0.0125,1186.078188221668
4,13,2.75,0.015,1231.9100561270134
4,13,2.75,0.0175,1344.9001300243144
4,13,2.75,0.02,1130.228298025542
4,13,3.0,0.0075,1179.6571642790643
4,13,3.0,0.01,1202.6253364587549
4,13,3.0,0.0125,1191.334405135579
4,13,3.0,0.015,1231.9766225773124
4,13,3.0,0.0175,1344.9001300243144
4,13,3.0,0.02,1125.8710770760586
5,4,1.75,0.0075,1284.5276785399187
5,4,1.75,0.01,1237.4005773523936
5,4,1.75,0.0125,1299.757181668161
5,4,1.75,0.015,1213.2500581961144
5,4,1.75,0.0175,1244.076840285003
5,4,1.75,0.02,1287.8263456986042
5,4,2.0,0.0075,1289.1144756404583
5,4,2.0,0.01,1225.7678894154546
5,4,2.0,0.0125,1344.2661990800266
5,4,2.0,0.015,1290.340643018193
5,4,2.0,0.0175,1305.061108677883
5,4,2.0,0.02,1294.0585208413695
5,4,2.25,0.0075,1291.4206098656734
5,4,2.25,0.01,1232.6653028605306
5,4,2.25,0.0125,1351.074037527668
5,4,2.25,0.015,1318.7321303877045
5,4,2.25,0.0175,1309.689990947208
5,4,2.25,0.02,1304.859792516802
5,4,2.5,0.0075,1301.8889612399437
5,4,2.5,0.01,1258.5131238865768
5,4,2.5,0.0125,1348.3364608255863
5,4,2.5,0.015,1332.259133522046
5,4,2.5,0.0175,1366.5377395889466
5,4,2.5,0.02,1329.5477777486367
5,4,2.75,0.0075,1333.9239957819473
5,4,2.75,0.01,1261.1691603233996
5,4,2.75,0.0125,1403.3334114126062
5,4,2.75,0.015,1389.7361570647406
5,4,2.75,0.0175,1381.6029026395777
5,4,2.75,0.02,1368.0325068545903
5,4,3.0,0.0075,1332.230844183421
5,4,3.0,0.01,1249.1152942641047
5,4,3.0,0.0125,1400.396796479249
5,4,3.0,0.015,1359.137825672772
5,4,3.0,0.0175,1384.373756831696
5,4,3.0,0.02,1384.119899785124
5,5,1.75,0.0075,1270.0659807710592
5,5,1.75,0.01,1284.889570625117
5,5,1.75,0.0125,1301.446868555582
5,5,1.75,0.015,1214.1823793726044
5,5,1.75,0.0175,1353.7469123213284
5,5,1.75,0.02,1270.6243159721205
5,5,2.0,0.0075,1297.6770569304267
5,5,2.0,0.01,1290.5033142703044
5,5,2.0,0.0125,1350.4686114599149
5,5,2.0,0.015,1291.054543678188
5,5,2.0,0.0175,1334.5382809252958
5,5,2.0,0.02,1275.5930538163082
5,5,2.25,0.0075,1297.6770569304267
5,5,2.25,0.01,1265.4523746510863
5,5,2.25,0.0125,1347.7122469312794
5,5,2.25,0.015,1319.5878181693051
5,5,2.25,0.0175,1423.8266071470905
5,5,2.25,0.02,1271.0223523434884
5,5,2.5,0.0075,1280.8298112213429
5,5,2.5,0.01,1286.2039480917133
5,5,2.5,0.0125,1337.9620533300624
5,5,2.5,0.015,1335.7365178340308
5,5,2.5,0.0175,1377.5868176913962
5,5,2.5,0.02,1319.432023570505
5,5,2.75,0.0075,1313.4971417097647
5,5,2.75,0.01,1331.438712856129
5,5,2.75,0.0125,1407.5924719363095
5,5,2.75,0.015,1378.5321784924934
5,5,2.75,0.0175,1415.815531636826
5,5,2.75,0.02,1359.5962258825718
5,5,3.0,0.0075,1317.6814916857
5,5,3.0,0.01,1301.561078162419
5,5,3.0,0.0125,1386.8771015814318
5,5,3.0,0.015,1361.8266962142477
5,5,3.0,0.0175,1423.3736039637429
5,5,3.0,0.02,1359.2112861550852
5,6,1.75,0.0075,1293.5905715601127
5,6,1.75,0.01,1287.900404112666
5,6,1.75,0.0125,1291.081008167756
5,6,1.75,0.015,1218.8533870867225
5,6,1.75,0.0175,1354.0584994485357
5,6,1.75,0.02,1271.3381057170136
5,6,2.0,0.0075,1335.3466142036327
5,6,2.0,0.01,1254.8931081571511
5,6,2.0,0.0125,1301.0695569815084
5,6,2.0,0.015,1251.8652891705851
5,6,2.0,0.0175,1413.7100500485014
5,6,2.0,0.02,1254.5989323321594
5,6,2.25,0.0075,1309.0781868583656
5,6,2.25,0.01,1258.307432573641
5,6,2.25,0.0125,1340.3844546442965
5,6,2.25,0.015,1320.1880521379849
5,6,2.25,0.0175,1423.2852756094658
5,6,2.25,0.02,1271.7525168131142
5,6,2.5,0.0075,1357.48541254918
5,6,2.5,0.01,1278.924775964412
5,6,2.5,0.0125,1339.9243169139572
5,6,2.5,0.015,1337.6449343506658
5,6,2.5,0.0175,1377.0581599878808
5,6,2.5,0.02,1320.2049210722232
5,6,2.75,0.0075,1377.264007885597
5,6,2.75,0.01,1326.703597288912
5,6,2.75,0.0125,1417.1399920664485
5,6,2.75,0.015,1364.6250549906729
5,6,2.75,0.0175,1414.916047865241
5,6,2.75,0.02,1352.5437144887735
5,6,3.0,0.0075,1348.7421525842706
5,6,3.0,0.01,1303.6742637959258
5,6,3.0,0.0125,1403.533105542026
5,6,3.0,0.015,1358.339609932217
5,6,3.0,0.0175,1420.4148570532718
5,6,3.0,0.02,1359.951980383996
5,7,1.75,0.0075,1335.275218007086
5,7,1.75,0.01,1304.1984149444404
5,7,1.75,0.0125,1291.7070051996868
5,7,1.75,0.015,1218.334698325673
5,7,1.75,0.0175,1419.4746022789573
5,7,1.75,0.02,1265.6472184360096
5,7,2.0,0.0075,1346.36358375126
5,7,2.0,0.01,1282.2514490286196
5,7,2.0,0.0125,1301.6326536880358
5,7,2.0,0.015,1251.4629986021384
5,7,2.0,0.0175,1317.7578394722298
5,7,2.0,0.02,1255.948132827274
5,7,2.25,0.0075,1355.6577220560944
5,7,2.25,0.01,1361.396071407276
5,7,2.25,0.0125,1340.8976631285634
5,7,2.25,0.015,1302.657944139181
5,7,2.25,0.0175,1422.216028739517
5,7,2.25,0.02,1270.8723094663856
5,7,2.5,0.0075,1341.9161026164545
5,7,2.5,0.01,1333.9095126584389
5,7,2.5,0.0125,1340.5750105906038
5,7,2.5,0.015,1309.360979314676
5,7,2.5,0.0175,1375.8982823758972
5,7,2.5,0.02,1316.0334870857678
5,7,2.75,0.0075,1361.2082549549168
5,7,2.75,0.01,1417.5042274861814
5,7,2.75,0.0125,1419.8178112729147
5,7,2.75,0.015,1354.1732669587088
5,7,2.75,0.0175,1414.0087646897632
5,7,2.75,0.02,1353.370916756125
5,7,3.0,0.0075,1394.5157483581495
5,7,3.0,0.01,1411.52930230224
5,7,3.0,0.0125,1405.1079677618409
5,7,3.0,0.015,1353.9781551170934
5,7,3.0,0.0175,1418.161725422353
5,7,3.0,0.02,1360.3334554947644
5,8,1.75,0.0075,1327.650978900896
5,8,1.75,0.01,1342.622536339128
5,8,1.75,0.0125,1321.8326449163242
5,8,1.75,0.015,1254.512786531269
5,8,1.75,0.0175,1420.4625392952478
5,8,1.75,0.02,1258.701299119172
5,8,2.0,0.0075,1350.0165536214831
5,8,2.0,0.01,1282.386966278797
5,8,2.0,0.0125,1302.2508321143955
5,8,2.0,0.015,1258.7017239294817
5,8,2.0,0.0175,1361.8099707293188
5,8,2.0,0.02,1243.5622105684124
5,8,2.25,0.0075,1326.6398059571754
5,8,2.25,0.01,1361.4859563472578
5,8,2.25,0.0125,1339.945105048108
5,8,2.25,0.015,1303.0140477562284
5,8,2.25,0.0175,1423.399398774915
5,8,2.25,0.02,1276.0172337703889
5,8,2.5,0.0075,1336.9008090109455
5,8,2.5,0.01,1334.2533273434274
5,8,2.5,0.0125,1339.720822376558
5,8,2.5,0.015,1309.5353685744078
5,8,2.5,0.0175,1374.8030582107
5,8,2.5,0.02,1312.576726851692
5,8,2.75,0.0075,1315.185895608003
5,8,2.75,0.01,1219.2140768489292
5,8,2.75,0.0125,1420.3666126563326
5,8,2.75,0.015,1354.2222714666198
5,8,2.75,0.0175,1409.2215317300231
5,8,2.75,0.02,1387.8220294481669
5,8,3.0,0.0075,1354.7726455117645
5,8,3.0,0.01,1220.7730139405523
5,8,3.0,0.0125,1429.6878514233913
5,8,3.0,0.015,1343.1078946911782
5,8,3.0,0.0175,1416.0007342261554
5,8,3.0,0.02,1362.177225590946
5,9,1.75,0.0075,1398.400496785737
5,9,1.75,0.01,1349.3675198178591
5,9,1.75,0.0125,1329.676725839195
5,9,1.75,0.015,1251.4847238703817
5,9,1.75,0.0175,1389.268957989116
5,9,1.75,0.02,1244.511337092575
5,9,2.0,0.0075,1324.4654927741572
5,9,2.0,0.01,1347.5799498372226
5,9,2.0,0.0125,1326.1155899282164
5,9,2.0,0.015,1266.6392982423763
5,9,2.0,0.0175,1373.0805360498914
5,9,2.0,0.02,1236.46562569894
5,9,2.25,0.0075,1382.4626956195652
5,9,2.25,0.01,1347.4952136755844
5,9,2.25,0.0125,1333.911274745948
5,9,2.25,0.015,1248.356810783513
5,9,2.25,0.0175,1420.1376755708995
5,9,2.25,0.02,1245.1902473992564
5,9,2.5,0.0075,1315.6771089201188
5,9,2.5,0.01,1388.4657564213358
5,9,2.5,0.0125,1349.605253852444
5,9,2.5,0.015,1274.4967317754654
5,9,2.5,0.0175,1424.1038267506583
5,9,2.5,0.02,1249.2495888416724
5,9,2.75,0.0075,1367.6317410485822
5,9,2.75,0.01,1407.330730838512
5,9,2.75,0.0125,1359.5086837621757
5,9,2.75,0.015,1286.5507973355277
5,9,2.75,0.0175,1394.3426268486462
5,9,2.75,0.02,1327.166513818388
5,9,3.0,0.0075,1367.6317410485822
5,9,3.0,0.01,1418.0494264644
5,9,3.0,0.0125,1357.7148502056289
5,9,3.0,0.015,1289.1641482424393
5,9,3.0,0.0175,1439.1700721090428
5,9,3.0,0.02,1334.0334608585663
5,10,1.75,0.0075,1304.2767106419165
5,10,1.75,0.01,1292.968093887023
5,10,1.75,0.0125,1308.8929576440191
5,10,1.75,0.015,1270.524216133441
5,10,1.75,0.0175,1368.568228536792
5,10,1.75,0.02,1252.9438781411409
5,10,2.0,0.0075,1304.2767106419165
5,10,2.0,0.01,1306.1711407489047
5,10,2.0,0.0125,1327.4210742700102
5,10,2.0,0.015,1269.476181186168
5,10,2.0,0.0175,1368.568228536792
5,10,2.0,0.02,1252.9438781411409
5,10,2.25,0.0075,1335.4133216011005
5,10,2.25,0.01,1316.362399858198
5,10,2.25,0.0125,1327.4210742700102
5,10,2.25,0.015,1253.479966352023
5,10,2.25,0.0175,1370.0527138290392
5,10,2.25,0.02,1262.8253914957577
5,10,2.5,0.0075,1344.1786011385364
5,10,2.5,0.01,1353.907629531693
5,10,2.5,0.0125,1337.0956587016026
5,10,2.5,0.015,1257.8551348416358
5,10,2.5,0.0175,1430.6410408213528
5,10,2.5,0.02,1257.8592506725756
5,10,2.75,0.0075,1367.5191116999283
5,10,2.75,0.01,1358.795050469354
5,10,2.75,0.0125,1367.933626761283
5,10,2.75,0.015,1254.5325562202702
5,10,2.75,0.0175,1417.825711578497
5,10,2.75,0.02,1298.6657200531013
5,10,3.0,0.0075,1353.7121538782153
5,10,3.0,0.01,1241.347185119953
5,10,3.0,0.0125,1364.494588589807
5,10,3.0,0.015,1254.846108340951
5,10,3.0,0.0175,1423.0177106754936
5,10,3.0,0.02,1297.4408011195524
5,11,1.75,0.0075,1250.9115861204457
5,11,1.75,0.01,1342.52745746373
5,11,1.75,0.0125,1302.8525465554933
