rsi_period,atr_period,atr_loose_multiplier,atr_strict_multiplier,final_value
4,4,1.75,0.0075,1052.227872564001
4,4,1.75,0.01,1173.1925643792583
4,4,1.75,0.0125,1177.9192352703
4,4,1.75,0.015,1105.3855815702093
4,4,1.75,0.0175,1028.1728522822457
4,4,1.75,0.02,1126.2172307087826
4,4,2.0,0.0075,1052.227872564001
4,4,2.0,0.01,1198.038243710816
4,4,2.0,0.0125,1216.4660050429293
4,4,2.0,0.015,1105.3855815702093
4,4,2.0,0.0175,1095.738334490375
4,4,2.0,0.02,1126.2172307087826
4,4,2.25,0.0075,1156.8003432012786
4,4,2.25,0.01,1219.5487806481783
4,4,2.25,0.0125,1223.9444856368673
4,4,2.25,0.015,1102.9888627142
4,4,2.25,0.0175,1095.738334490375
4,4,2.25,0.02,1125.2212191611538
4,4,2.5,0.0075,1073.1596154742206
4,4,2.5,0.01,1209.574783686141
4,4,2.5,0.0125,1167.483849885793
4,4,2.5,0.015,1148.3584121096353
4,4,2.5,0.0175,1142.1552384578288
4,4,2.5,0.02,1165.1702539134658
4,4,2.75,0.0075,1072.952928992811
4,4,2.75,0.01,1211.8434722216105
4,4,2.75,0.0125,1162.4147824220452
4,4,2.75,0.015,1150.485545381581
4,4,2.75,0.0175,1128.0839541658136
4,4,2.75,0.02,1164.8906781599962
4,4,3.0,0.0075,1078.0489056196134
4,4,3.0,0.01,1206.784526857679
4,4,3.0,0.0125,1134.8974648272076
4,4,3.0,0.015,1151.7154742236412
4,4,3.0,0.0175,1132.794297139543
4,4,3.0,0.02,1164.8435378923812
4,5,1.75,0.0075,1197.2499806499568
4,5,1.75,0.01,1341.665299305537
4,5,1.75,0.0125,1350.6593917442822
4,5,1.75,0.015,1249.5737218213549
4,5,1.75,0.0175,1309.713298411625
4,5,1.75,0.02,1165.0362585279804
4,5,2.0,0.0075,1210.1291003081355
4,5,2.0,0.01,1350.4061425213868
4,5,2.0,0.0125,1310.1269016652384
4,5,2.0,0.015,1249.5737218213549
4,5,2.0,0.0175,1312.597603688962
4,5,2.0,0.02,1165.0362585279804
4,5,2.25,0.0075,1297.079594759772
4,5,2.25,0.01,1307.7981953230935
4,5,2.25,0.0125,1316.083436884731
4,5,2.25,0.015,1259.2841755367097
4,5,2.25,0.0175,1238.9582181083997
4,5,2.25,0.02,1238.1390496272834
4,5,2.5,0.0075,1290.2907704734898
4,5,2.5,0.01,1331.4559526545866
4,5,2.5,0.0125,1315.771627070395
4,5,2.5,0.015,1282.1891160430898
4,5,2.5,0.0175,1287.8162611200212
4,5,2.5,0.02,1227.4359015516238
4,5,2.75,0.0075,1204.98893086963
4,5,2.75,0.01,1319.795298772707
4,5,2.75,0.0125,1318.4574475824056
4,5,2.75,0.015,1296.4502464751563
4,5,2.75,0.0175,1287.340030042883
4,5,2.75,0.02,1266.055518217981
4,5,3.0,0.0075,1215.4309158988076
4,5,3.0,0.01,1311.6003070086874
4,5,3.0,0.0125,1319.4495933479889
4,5,3.0,0.015,1293.9779694255435
4,5,3.0,0.0175,1287.6659287041714
4,5,3.0,0.02,1262.1197376809123
4,6,1.75,0.0075,1249.876006705781
4,6,1.75,0.01,1336.9582880567152
4,6,1.75,0.0125,1293.8435911927218
4,6,1.75,0.015,1253.4390679363396
4,6,1.75,0.0175,1350.4041087089204
4,6,1.75,0.02,1174.6103730533682
4,6,2.0,0.0075,1228.3774089019726
4,6,2.0,0.01,1348.8451737620685
4,6,2.0,0.0125,1308.016176986552
4,6,2.0,0.015,1253.4390679363396
4,6,2.0,0.0175,1350.4041087089204
4,6,2.0,0.02,1174.6103730533682
4,6,2.25,0.0075,1227.3000072659825
4,6,2.25,0.01,1318.0513729972456
4,6,2.25,0.0125,1298.443209655634
4,6,2.25,0.015,1268.456105750936
4,6,2.25,0.0175,1276.3068977498144
4,6,2.25,0.02,1238.2066449069423
4,6,2.5,0.0075,1209.6034871589463
4,6,2.5,0.01,1324.3143727528343
4,6,2.5,0.0125,1252.4215441724364
4,6,2.5,0.015,1246.6233729176338
4,6,2.5,0.0175,1332.2579888067326
4,6,2.5,0.02,1237.958015886907
4,6,2.75,0.0075,1199.2747596934266
4,6,2.75,0.01,1322.8950491178098
4,6,2.75,0.0125,1274.6164600132215
4,6,2.75,0.015,1285.9305519324023
4,6,2.75,0.0175,1292.9653510449116
4,6,2.75,0.02,1247.2783053839398
4,6,3.0,0.0075,1219.4340428362616
4,6,3.0,0.01,1311.984143932537
4,6,3.0,0.0125,1281.079653827467
4,6,3.0,0.015,1286.2435416334563
