bollinger_period,bollinger_std,bollinger_width_threshold,rsi_upper,rsi_lower,atr_multiplier,final_value
10,0.5,0.03,80,30,1.5,985.4746076244818
10,0.5,0.03,80,30,2,980.6975430871981
10,0.5,0.03,80,35,0.5,1052.6621178538726
10,0.5,0.03,80,35,0.8,1049.0195954986573
10,0.5,0.03,80,35,1,1069.506547421142
10,0.5,0.03,80,35,1.2,1070.6369873531187
10,0.5,0.03,80,35,1.5,1072.8354850092453
10,0.5,0.03,80,35,2,1068.141329003894
10,0.5,0.03,80,40,0.5,954.5993976080921
10,0.5,0.03,80,40,0.8,965.8808004079337
10,0.5,0.03,80,40,1,967.7053353167452
10,0.5,0.03,80,40,1.2,964.051990458503
10,0.5,0.03,80,40,1.5,958.0872188427448
10,0.5,0.03,80,40,2,951.8068232518646
10,0.5,0.04,60,25,0.5,1000.0
10,0.5,0.04,60,25,0.8,1000.0
10,0.5,0.04,60,25,1,1000.0
10,0.5,0.04,60,25,1.2,1000.0
10,0.5,0.04,60,25,1.5,1000.0
10,0.5,0.04,60,25,2,1000.0
10,0.5,0.04,60,30,0.5,980.6508613655617
10,0.5,0.04,60,30,0.8,980.5031912216741
10,0.5,0.04,60,30,1,984.9435150589908
10,0.5,0.04,60,30,1.2,985.0837859155115
10,0.5,0.04,60,30,1.5,985.4746076244818
10,0.5,0.04,60,30,2,980.6975430871981
10,0.5,0.04,60,35,0.5,1029.9179209842805
10,0.5,0.04,60,35,0.8,1030.2260651510264
10,0.5,0.04,60,35,1,1034.5808881488972
10,0.5,0.04,60,35,1.2,1033.5597423095296
10,0.5,0.04,60,35,1.5,1034.9654875411475
10,0.5,0.04,60,35,2,1027.7559382249985
10,0.5,0.04,60,40,0.5,1026.6744633063365
10,0.5,0.04,60,40,0.8,1025.8085369938185
10,0.5,0.04,60,40,1,1029.4274330706878
10,0.5,0.04,60,40,1.2,1029.0197299499105
10,0.5,0.04,60,40,1.5,1031.3854799880469
10,0.5,0.04,60,40,2,1023.0959297945176
10,0.5,0.04,65,25,0.5,1000.0
10,0.5,0.04,65,25,0.8,1000.0
10,0.5,0.04,65,25,1,1000.0
10,0.5,0.04,65,25,1.2,1000.0
10,0.5,0.04,65,25,1.5,1000.0
10,0.5,0.04,65,25,2,1000.0
10,0.5,0.04,65,30,0.5,980.6508613655617
10,0.5,0.04,65,30,0.8,980.5031912216741
10,0.5,0.04,65,30,1,984.9435150589908
10,0.5,0.04,65,30,1.2,985.0837859155115
10,0.5,0.04,65,30,1.5,985.4746076244818
10,0.5,0.04,65,30,2,980.6975430871981
10,0.5,0.04,65,35,0.5,1029.9179209842805
10,0.5,0.04,65,35,0.8,1030.2260651510264
